city,space,attack,recalculated,value
lviv,c,,False,0.498

lviv,c,degrees,False,0.47

lviv,c,degrees,True,0.464

lviv,c,betweenness,False,0.465

lviv,c,betweenness,True,0.426

lviv,p,,False,0.497

lviv,p,degrees,False,0.423

lviv,p,degrees,True,0.403

lviv,p,betweenness,False,0.4

lviv,p,betweenness,True,0.321
lviv,l,,False,0.234
lviv,l,degrees,False,0.087
lviv,l,degrees,True,0.075
lviv,l,betweenness,False,0.159
lviv,l,betweenness,True,0.059
bristol,c,,False,0.481
bristol,c,degrees,False,0.432
bristol,c,degrees,True,0.404
bristol,c,betweenness,False,0.395
bristol,c,betweenness,True,0.343
bristol,p,,False,0.497
bristol,p,degrees,False,0.438
bristol,p,degrees,True,0.439
bristol,p,betweenness,False,0.416
bristol,p,betweenness,True,0.31
bristol,l,,False,0.304
bristol,l,degrees,False,0.125
bristol,l,degrees,True,0.109
bristol,l,betweenness,False,0.159
bristol,l,betweenness,True,0.095
