space,property,lviv,bristol
l,nodes,598,1130
l,edges,765,1905
l,betweenness centrality,0.022,0.01
l,assortativity,-0.03,0.31
l,clustering coefficient,0.047,0.104
l,mean degree,2.558,3.372
l,mean square degree,7.93,15.15
l,max degree,10,25
l,mean shortest path,14.287,12.281
l,max shortest path,40,37
l,path length efficiency,2.443,2.368
l,molloy reed criterion,3.099,4.493
l,random graph clustering coefficient,0.004,0.003
l,random graph mean shortest path,5.849,5.186
space,property,lviv,bristol
p,nodes,598,1130
p,edges,27091,56773
p,betweenness centrality,0.002,0.001
p,assortativity,-0.06,-0.03
p,clustering coefficient,0.637,0.622
p,mean degree,90.605,100.483
p,mean square degree,12540.95,14615.93
p,max degree,411,620
p,mean shortest path,1.966,2.088
p,max shortest path,5,5
p,path length efficiency,1.21,1.203
p,molloy reed criterion,138.413,145.456
p,random graph clustering coefficient,0.152,0.089
p,random graph mean shortest path,1.624,1.736
space,property,lviv,bristol
c,nodes,77,143
c,edges,1494,2432
c,betweenness centrality,0.007,0.006
c,assortativity,-0.05,0.06
c,clustering coefficient,0.745,0.623
c,mean degree,38.805,34.014
c,mean square degree,1716.94,1466.15
c,max degree,65,85
c,mean shortest path,1.498,1.854
c,max shortest path,3,4
c,path length efficiency,1.131,1.224
c,molloy reed criterion,44.245,43.104
c,random graph clustering coefficient,0.511,0.24
c,random graph mean shortest path,1.324,1.514
